28.0,38.0
41.0,46.0
64.0,68.0
78.0,83.0
107.0,110.0
131.0,138.0
199.0,202.0
268.0,271.0
289.0,294.0
295.0,303.0
311.0,314.0
315.0,322.0
327.0,331.0
334.0,340.0
344.0,349.0
370.0,379.0
382.0,389.0
390.0,393.0
396.0,403.0
406.0,410.0
412.0,416.0
444.0,447.0
453.0,458.0
465.0,469.0
473.0,477.0
486.0,491.0
504.0,507.0
513.0,516.0
535.0,538.0
582.0,587.0
591.0,597.0
604.0,608.0
620.0,630.0
636.0,639.0
641.0,644.0
651.0,656.0
660.0,664.0
691.0,699.0
703.0,708.0
716.0,720.0
777.0,781.0
783.0,788.0
848.0,853.0
854.0,857.0
868.0,874.0
888.0,897.0
898.0,902.0
911.0,914.0
921.0,925.0
930.0,933.0
936.0,941.0
949.0,955.0
958.0,961.0
966.0,972.0
975.0,978.0
981.0,990.0
993.0,996.0
1022.0,1025.0
1028.0,1031.0
1033.0,1036.0
1039.0,1043.0
1047.0,1050.0
1061.0,1072.0
1074.0,1077.0
1084.0,1088.0
1102.0,1108.0
1121.0,1127.0
1394.0,1398.0
1403.0,1409.0
1491.0,1495.0
1498.0,1501.0
1532.0,1545.0
1575.0,1579.0
1583.0,1589.0
1591.0,1594.0
1602.0,1606.0
1615.0,1618.0
1623.0,1626.0
1715.0,1718.0
2029.0,2032.0
2151.0,2155.0
2460.0,2465.0
2523.0,2530.0
2596.0,2599.0
2604.0,2607.0
2765.0,2768.0
2971.0,2976.0
3167.0,3171.0
3221.0,3224.0
3237.0,3243.0
3452.0,3458.0
3494.0,3499.0
3568.0,3571.0
3613.0,3618.0
3634.0,3637.0
3646.0,3650.0
3651.0,3660.0
3774.0,3778.0
3925.0,3929.0
3934.0,3942.0
3988.0,3991.0
3995.0,3999.0
4016.0,4020.0
4028.0,4033.0
4081.0,4088.0
4091.0,4100.0
4114.0,4119.0
4130.0,4133.0
4195.0,4198.0
4201.0,4204.0
4217.0,4220.0
4227.0,4230.0
4266.0,4269.0
4476.0,4480.0
4523.0,4526.0
4843.0,4846.0
4862.0,4865.0
4866.0,4869.0
4875.0,4878.0
4931.0,4934.0
4973.0,4978.0
4980.0,4987.0
4996.0,4999.0
5038.0,5041.0
5061.0,5067.0
5122.0,5125.0
5158.0,5162.0
5167.0,5170.0
5190.0,5199.0
5207.0,5210.0
5221.0,5225.0
5232.0,5235.0
5262.0,5268.0
5288.0,5292.0
5312.0,5316.0
5332.0,5338.0
5345.0,5350.0
5352.0,5355.0
