recording,channel,epoch,second,augmentation,seizure,std,iqr,skewness,kurtosis,zero_crossings,hjorth_mobility,hjorth_complexity,approx_entropy,petrosian_fd,delta,theta,alpha,beta
1,BTEright SD,1,1,original,0,4.637632844865821,6.548830719394346,0.16262380349400996,-0.12658365967150687,51,0.7014999850566682,1.6383325362442418,1.0747329874903242,1.0266284921071724,0.0642614087044368,0.24580826175691323,0.1812538019332414,0.34631824978053466
1,BTEright SD,1,2,original,0,5.841035781303719,8.019769823307358,0.026743996059454857,0.23625107503301157,55,0.5889931205162756,2.071058978424956,1.1049921775721252,1.0276555342593598,0.522734438880045,0.18793656063582675,0.025871658183741673,0.20946839053614189
1,BTEright SD,1,3,original,0,7.602734114558528,9.607442578253146,0.12649921518860593,1.5394302533190718,60,0.8342250671252437,1.5625259763373522,0.9488572190917961,1.0296992290648215,0.27016367430324223,0.29566659917772264,0.04738157731056228,0.21759770421495758
1,BTEright SD,1,4,original,0,7.109638750433529,9.050712771336974,0.01511960579504734,0.7331268730629477,89,0.9912144859399349,1.38084982800685,1.0583775908923858,1.032991252803392,0.14213405271692592,0.18600834337513664,0.032965699699321234,0.1359003454309811
1,BTEright SD,1,5,original,0,6.653564839992646,8.40710884295801,-0.1018082096224251,0.28549766868871096,57,0.6926712156201076,1.914688201668563,0.917700005401612,1.0309695958745033,0.4971713119027735,0.27963768492644614,0.026580144452044832,0.13980210392333406
1,BTEright SD,1,6,original,0,4.571281687604581,5.346103530199306,-0.7152671112759439,1.3661999566025713,58,0.6367784569592971,1.9306867894862798,1.0415437570780424,1.0279117507277797,0.32193328486941836,0.2575011346339687,0.16746368919637802,0.1499677195950311
1,BTEright SD,1,7,original,0,5.700205501141055,7.610403237793085,0.42181408292500794,0.4386164549819691,51,0.605262826998572,1.9740416782094778,1.0189047428855194,1.0279117507277797,0.291400251050268,0.282216519307783,0.09566344002407888,0.179913481712614
1,BTEright SD,1,8,original,0,6.105244848266398,7.654188328590444,0.1413347703841046,0.35086483406573565,40,0.569984416118811,2.2110132313432764,1.068797152476757,1.0299537266887975,0.4000592098865205,0.11349716943375039,0.09898979962599265,0.13544839307575468
1,BTEright SD,1,9,original,0,6.798792770025168,7.0457166880913435,-1.274842391234358,2.1851055217925373,44,0.44543686741370003,2.7688606490558203,1.0697151911549065,1.0255979432741118,0.5667958304114407,0.4434334475218846,0.09156276117362136,0.05359546724189013
1,BTEright SD,1,10,original,0,5.087842739580047,7.104286077626268,-0.4884419633180554,-0.18043012961443372,41,0.5831042235035027,2.1378840321690107,1.0717985353297723,1.0302080116920547,0.6602704717292778,0.2567249578375896,0.10766709932576093,0.04529974031208718
1,BTEright SD,1,11,original,0,4.799147952362693,6.426302343759005,-0.2308536025399979,0.27008658951711917,41,0.601811734528873,2.026266917616215,1.0206298741254116,1.0291895939833593,0.3805697551698868,0.1743869348486099,0.05087685782829513,0.2420538896551317
1,BTEright SD,1,12,original,0,4.936993684489845,6.567223941229402,-0.1498178418440572,-0.16634762579187523,48,0.55021635864638,1.9657710928315002,1.0296974119149276,1.0258559110434244,0.3732813933102116,0.33269232957425593,0.13985337591623,0.18055506237127725
1,BTEright SD,1,13,original,0,5.0309172579942025,6.824864381474878,-0.09481565971430359,-0.20900881938806304,49,0.6270191535467636,1.9019656878160573,1.0081381021933362,1.0261136580920704,0.13808310883452635,0.09261735696955847,0.11742798015431762,0.390428775222896
1,BTEright SD,1,14,original,0,6.300134152005498,8.458899424149102,0.07056524328339253,-0.4224720994994242,45,0.4897042191597815,2.4426853443093215,0.9791013907404289,1.0273991006729957,0.4492806590772894,0.3446659223840428,0.11555904620528687,0.10035198964189905
1,BTEright SD,1,15,original,0,4.644874627498472,5.544964043680126,0.06537212234525604,0.30421784153557097,53,0.6427549590357471,1.7760190727045113,0.9895819933682013,1.0271424494597257,0.16371863448304808,0.14783735153920666,0.10430057232065582,0.22324290041049413
1,BTEright SD,1,16,original,0,5.852242008456982,7.600968167779518,-0.033677730927346675,-0.2550302555552135,53,0.5528602085093777,2.1906253405321485,1.0622115516929913,1.0266284921071724,0.5845950659679056,0.20024640325895673,0.08110323655036894,0.09379239519818325
1,BTEright SD,1,17,original,0,4.578275828991843,5.980140708104228,0.07738334166814051,0.05151619739301827,77,0.7405354816714955,1.641398100281008,1.0252697901973464,1.0284235343372452,0.1984875103794345,0.1865231639909592,0.06221512881344365,0.32169761629163124
1,BTEright SD,1,18,original,0,6.485250303656285,8.02907074274585,-0.6503885536855367,0.8645396368881344,42,0.5026030617969104,2.4436611470516647,0.9844980593147539,1.0299537266887975,0.5328208877787523,0.07736530756523127,0.05416009484131622,0.20308159483905905
1,BTEright SD,1,19,original,0,5.066797739067452,6.736417590044326,-0.3547422690753677,0.5170473873770098,38,0.572000299357863,2.3295644596694367,1.0218160833491412,1.0296992290648215,0.6650541969088036,0.19013491468308164,0.06444118236218299,0.051361859699558705
1,BTEright SD,1,20,original,0,5.624849172362864,6.897198996242105,-0.3324109015292267,0.5656627256908702,47,0.5566922223099376,2.137700284504472,1.0257196823444663,1.0291895939833593,0.30639009627601993,0.24196633434729944,0.17351644963700505,0.17536379269557237
1,BTEright SD,1,21,original,0,6.54466533463731,8.434138235714858,-0.5791653028010604,0.6048262097956534,53,0.514082691684935,2.340185175711556,1.0376048070480173,1.0271424494597257,0.3623095234314847,0.17758178544616707,0.06288282517855175,0.1930638488446741
1,BTEright SD,1,22,original,0,5.631068899886848,6.702097440899054,-0.6324668273038636,1.1739112216142225,54,0.5854122368916337,2.061374706171995,0.9973495325163677,1.0253397542617495,0.25557243909454636,0.34687066387955523,0.1600693474746039,0.18986951224472165
1,BTEright SD,1,23,original,0,6.268419966001298,8.08271926411162,-0.6045043042081305,1.090378251811221,39,0.4796196496068741,2.4611146546427665,1.0421131090222708,1.0307159457969917,0.6480261370319033,0.07828475268488681,0.043014379305127706,0.11448269214629245
